video_id,gloss,split,path,valid_frames
69241,book,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-399\69241.npy,25
07069,book,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-399\07069.npy,25
07068,book,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-399\07068.npy,25
07070,book,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-399\07070.npy,24
07099,book,val,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-399\07099.npy,24
07074,book,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-399\07074.npy,25
69302,drink,val,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-399\69302.npy,25
65539,drink,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-399\65539.npy,25
17710,drink,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-399\17710.npy,25
17733,drink,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-399\17733.npy,24
65540,drink,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-399\65540.npy,25
17734,drink,val,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-399\17734.npy,24
17711,drink,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-399\17711.npy,25
17712,drink,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-399\17712.npy,25
17713,drink,test,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-399\17713.npy,24
17709,drink,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-399\17709.npy,25
17720,drink,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-399\17720.npy,25
17721,drink,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-399\17721.npy,25
17722,drink,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-399\17722.npy,25
17723,drink,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-399\17723.npy,25
17724,drink,val,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-399\17724.npy,25
12328,computer,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-399\12328.npy,25
12312,computer,val,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-399\12312.npy,25
12311,computer,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-399\12311.npy,25
12338,computer,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-399\12338.npy,24
12313,computer,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-399\12313.npy,25
12314,computer,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-399\12314.npy,25
12315,computer,val,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-399\12315.npy,25
12316,computer,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-399\12316.npy,25
12317,computer,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-399\12317.npy,25
12318,computer,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-399\12318.npy,25
12319,computer,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-399\12319.npy,25
12320,computer,test,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-399\12320.npy,24
12326,computer,val,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-399\12326.npy,25
12327,computer,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-399\12327.npy,25
05728,before,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-399\05728.npy,25
05749,before,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-399\05749.npy,24
05750,before,val,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-399\05750.npy,24
