video_id,gloss,split,path,valid_frames
69241,book,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\69241.npy,25
07069,book,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\07069.npy,25
07068,book,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\07068.npy,25
07070,book,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\07070.npy,24
07099,book,val,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\07099.npy,24
07074,book,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\07074.npy,25
69302,drink,val,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\69302.npy,25
65539,drink,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\65539.npy,25
17710,drink,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\17710.npy,25
17733,drink,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\17733.npy,24
65540,drink,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\65540.npy,25
17734,drink,val,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\17734.npy,24
17711,drink,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\17711.npy,25
17712,drink,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\17712.npy,25
17713,drink,test,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\17713.npy,24
17709,drink,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\17709.npy,25
17720,drink,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\17720.npy,25
17721,drink,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\17721.npy,25
17722,drink,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\17722.npy,25
17723,drink,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\17723.npy,25
17724,drink,val,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\17724.npy,25
12328,computer,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\12328.npy,25
12312,computer,val,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\12312.npy,25
12311,computer,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\12311.npy,25
12338,computer,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\12338.npy,24
12313,computer,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\12313.npy,25
12314,computer,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\12314.npy,25
12315,computer,val,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\12315.npy,25
12316,computer,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\12316.npy,25
12317,computer,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\12317.npy,25
12318,computer,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\12318.npy,25
12319,computer,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\12319.npy,25
12320,computer,test,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\12320.npy,24
12326,computer,val,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\12326.npy,25
12327,computer,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\12327.npy,25
05728,before,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\05728.npy,25
05749,before,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\05749.npy,24
05750,before,val,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\05750.npy,24
05729,before,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\05729.npy,25
05730,before,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\05730.npy,25
65167,before,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\65167.npy,25
05731,before,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\05731.npy,25
05732,before,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\05732.npy,24
05733,before,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\05733.npy,24
05734,before,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\05734.npy,24
05727,before,test,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\05727.npy,25
05739,before,test,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\05739.npy,25
05740,before,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\05740.npy,25
05741,before,test,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\05741.npy,25
05742,before,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\05742.npy,25
05743,before,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\05743.npy,25
09848,chair,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\09848.npy,25
09869,chair,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\09869.npy,24
09849,chair,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\09849.npy,25
09850,chair,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\09850.npy,25
09851,chair,val,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\09851.npy,24
65328,chair,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\65328.npy,25
09854,chair,val,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\09854.npy,25
69345,go,val,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\69345.npy,25
24955,go,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\24955.npy,25
24956,go,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\24956.npy,25
24941,go,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\24941.npy,25
24960,go,test,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\24960.npy,25
24961,go,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\24961.npy,25
24962,go,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\24962.npy,25
65824,go,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\65824.npy,25
24973,go,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\24973.npy,24
24943,go,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\24943.npy,25
24946,go,val,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\24946.npy,25
24947,go,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\24947.npy,24
24940,go,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\24940.npy,25
24952,go,val,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\24952.npy,25
24954,go,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\24954.npy,25
11310,clothes,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\11310.npy,25
11330,clothes,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\11330.npy,24
11311,clothes,test,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\11311.npy,24
11313,clothes,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\11313.npy,25
11309,clothes,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\11309.npy,25
69534,who,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\69534.npy,25
63242,who,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\63242.npy,24
63226,who,test,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\63226.npy,25
63227,who,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\63227.npy,25
63228,who,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\63228.npy,25
63229,who,val,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\63229.npy,25
63230,who,val,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\63230.npy,25
63231,who,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\63231.npy,24
66778,who,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\66778.npy,25
63232,who,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\63232.npy,24
66779,who,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\66779.npy,25
63225,who,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\63225.npy,25
08929,candy,val,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\08929.npy,24
08916,candy,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\08916.npy,25
08917,candy,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\08917.npy,25
08918,candy,val,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\08918.npy,25
08919,candy,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\08919.npy,25
08920,candy,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\08920.npy,25
08921,candy,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\08921.npy,24
65298,candy,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\65298.npy,25
08924,candy,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\08924.npy,25
65299,candy,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\65299.npy,25
65300,candy,test,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\65300.npy,25
08915,candy,test,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_semantic_0-599_normalized_0-4787\08915.npy,25
