video_id,gloss,split,path,valid_frames
69241,book,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_top5\69241.npy,30
07069,book,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_top5\07069.npy,30
07068,book,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_top5\07068.npy,30
07070,book,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_top5\07070.npy,29
07099,book,val,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_top5\07099.npy,29
69302,drink,val,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_top5\69302.npy,30
65539,drink,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_top5\65539.npy,30
17710,drink,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_top5\17710.npy,30
17733,drink,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_top5\17733.npy,29
65540,drink,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_top5\65540.npy,30
17734,drink,val,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_top5\17734.npy,29
17711,drink,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_top5\17711.npy,30
17712,drink,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_top5\17712.npy,30
17713,drink,test,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_top5\17713.npy,29
17709,drink,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_top5\17709.npy,30
12328,computer,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_top5\12328.npy,30
12312,computer,val,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_top5\12312.npy,30
12311,computer,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_top5\12311.npy,30
12338,computer,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_top5\12338.npy,29
12313,computer,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_top5\12313.npy,30
12314,computer,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_top5\12314.npy,30
12315,computer,val,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_top5\12315.npy,30
12316,computer,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_top5\12316.npy,30
12317,computer,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_top5\12317.npy,30
12318,computer,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_top5\12318.npy,30
12319,computer,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_top5\12319.npy,30
12320,computer,test,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_top5\12320.npy,29
12326,computer,val,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_top5\12326.npy,30
12327,computer,train,D:\Monash University\Monash 2026 Sem 1\FIT 3164\FYP sign language translator\MDS05_FYP\sign_language_pipeline\training\..\data\processed_holistic_pose_hand_top5\12327.npy,30
